"Program","Ye ar","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","BEEF, SLAUGHTER - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>","BEEF, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","BEEF, SLAUGHTER, COMMERCIAL - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>","BEEF, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","BEEF, SLAUGHTER, COMMERCIAL, FI - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>","BEEF, SLAUGHTER, ON FARM - PRODUCTION, MEASURED IN LB  -  <b>VALUE</b>","BEEF, SLAUGHTER, ON FARM - PRODUCTION, MEASURED IN LB  -  <b>CV (%)</b>"
"SURVEY","2015","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,759,700,000","","23,697,700,000","","23,395,100,000","","62,000,000",""
"SURVEY","2014","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","24,314,500,000","","24,249,100,000","","23,932,200,000","","65,500,000",""
"SURVEY","2013","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,789,900,000","","25,719,500,000","","25,384,800,000","","70,400,000",""
"SURVEY","2012","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,989,400,000","","25,913,100,000","","25,572,600,000","","76,300,000",""
"SURVEY","2011","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,270,400,000","","26,195,400,000","","25,854,300,000","","75,000,000",""
"SURVEY","2010","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,389,200,000","","26,305,000,000","","25,954,300,000","","84,200,000",""
"SURVEY","2009","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,056,300,000","","25,966,000,000","","25,597,900,000","","90,200,000",""
"SURVEY","2008","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,656,600,000","","26,560,700,000","","26,200,000,000","","95,900,000",""
"SURVEY","2007","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,523,500,000","","26,420,800,000","","26,070,000,000","","102,700,000",""
"SURVEY","2006","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,256,200,000","","26,151,800,000","","25,791,800,000","","104,400,000",""
"SURVEY","2005","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","24,786,200,000","","24,682,500,000","","24,328,300,000","","103,800,000",""
"SURVEY","2004","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","24,649,000,000","","24,547,000,000","","24,189,000,000","","102,000,000",""
"SURVEY","2003","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,340,000,000","","26,238,000,000","","25,880,000,000","","101,000,000",""
"SURVEY","2002","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","27,193,000,000","","27,091,000,000","","26,714,000,000","","102,000,000",""
"SURVEY","2001","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,213,000,000","","26,108,000,000","","25,743,000,000","","105,000,000",""
"SURVEY","2000","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,887,000,000","","26,776,000,000","","26,405,000,000","","111,000,000",""
"SURVEY","1999","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","26,492,000,000","","26,385,000,000","","25,998,000,000","","107,000,000",""
"SURVEY","1998","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,760,000,000","","25,653,000,000","","25,264,000,000","","107,000,000",""
"SURVEY","1997","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,490,000,000","","25,384,000,000","","24,964,000,000","","106,000,000",""
"SURVEY","1996","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,527,000,000","","25,421,000,000","","24,948,000,000","","106,000,000",""
"SURVEY","1995","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,224,000,000","","25,117,000,000","","24,691,000,000","","107,000,000",""
"SURVEY","1994","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","24,386,000,000","","24,278,000,000","","23,875,000,000","","108,000,000",""
"SURVEY","1993","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,049,000,000","","22,942,000,000","","22,528,000,000","","107,000,000",""
"SURVEY","1992","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,086,000,000","","22,968,000,000","","22,524,000,000","","118,000,000",""
"SURVEY","1991","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","22,917,000,000","","22,800,000,000","","22,340,000,000","","117,000,000",""
"SURVEY","1990","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","22,743,000,000","","22,634,000,000","","22,152,000,000","","109,000,000",""
"SURVEY","1989","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,088,000,000","","22,975,000,000","","22,456,000,000","","113,000,000",""
"SURVEY","1988","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,590,000,000","","23,425,000,000","","22,837,000,000","","165,000,000",""
"SURVEY","1987","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,566,000,000","","23,405,000,000","","22,746,000,000","","161,000,000",""
"SURVEY","1986","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","24,371,000,000","","24,213,000,000","","23,456,000,000","","158,000,000",""
"SURVEY","1985","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,728,000,000","","23,557,000,000","","22,709,000,000","","171,000,000",""
"SURVEY","1984","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,596,000,000","","23,416,000,000","","22,509,000,000","","180,000,000",""
"SURVEY","1983","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,241,000,000","","23,058,000,000","","22,057,000,000","","183,000,000",""
"SURVEY","1982","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","22,536,000,000","","22,366,000,000","","21,334,000,000","","170,000,000",""
"SURVEY","1981","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","22,389,000,000","","22,214,000,000","","21,043,000,000","","175,000,000",""
"SURVEY","1980","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,644,000,000","","21,470,000,000","","20,273,000,000","","174,000,000",""
"SURVEY","1979","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","21,446,000,000","","21,261,000,000","","20,059,000,000","","185,000,000",""
"SURVEY","1978","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","24,242,000,000","","24,010,000,000","","22,623,000,000","","232,000,000",""
"SURVEY","1977","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,279,000,000","","24,986,000,000","","23,364,000,000","","293,000,000",""
"SURVEY","1976","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","25,969,000,000","","25,667,000,000","","","","302,000,000",""
"SURVEY","1975","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,976,000,000","","23,673,000,000","","","","303,000,000",""
"SURVEY","1974","YEAR","","NATIONAL","US TOTAL","","","","","","","","00000000","","BEEF","TOTAL","NOT SPECIFIED","23,138,000,000","","22,844,000,000","","","","294,000,000",""
